,datetime,trade_code,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn,free_turn,total_shares,mkt_cap,free_float_shares,mkt_freeshares,annualstdevr_100w,dividendyield2,trade_status
29,2003/1/2,000032.SZ,12.2,12.49,12.03,12.08,135987,1656932.3,-0.21,-1.7087,1.40634,0.2483,0.2483,149272000,1803205760,54760003,661500836.2,25.6167,0.7254,1
30,2003/1/2,000033.SZ,7.15,7.28,7.05,7.1,387457,2764129.9,-0.09,-1.2517,1.220766,0.5764,0.5764,287723488,2042836765,67223488,477286764.8,43.4447,NA,1
31,2003/1/2,000034.SZ,7.13,7.34,7,7.19,630999,4505313.5,-0.01,-0.1389,1.906248,0.7453,0.7453,311139400,2237092286,84658866,608697246.5,41.6636,NA,1
32,2003/1/2,000035.SZ,12.89,13.22,12.62,12.8,191580,2486522.2,-0.19,-1.4627,1.280996,0.4492,0.4492,115887200,1483356160,42649200,545909760,45.0521,NA,1
33,2003/1/2,000036.SZ,5.77,5.8,5.6,5.62,386800,2201088.7,-0.16,-2.7682,2.386163,0.2183,0.2183,359555085,2020699578,177172500,995709450,35.3784,NA,1
34,2003/1/2,000037.SZ,9.7,9.88,9.65,9.74,327350,3176659.5,-0.11,-1.1168,3.421723,0.5048,0.5048,547965998,5337188821,64846135,631601354.9,32.835,3.1828,1
35,2003/1/2,000038.SZ,12.4,12.69,12.4,12.5,122124,1525870.5,0,0,1.371282,0.6381,0.6381,90486000,1131075000,19140000,239250000,36.6288,NA,1
36,2003/1/2,000039.SZ,14.1,14.45,13.98,14.02,270179,3796814.1,-0.26,-1.8207,4.357161,0.3897,0.3897,510302096,7154435386,69333262,972052333.2,27.2118,2.3776,1
37,2003/1/2,000040.SZ,6.14,6.28,6.06,6.09,931490,5706811.4,-0.05,-0.8143,3.262955,0.3248,0.3248,469593364,2859823587,286800468,1746614850,43.6272,NA,1
38,2003/1/2,000042.SZ,9.67,9.8,9.4,9.41,136000,1301327,-0.27,-2.7893,4.092449,0.1962,0.1962,239463040,2253347206,69329442,652390049.2,32.1507,1.3815,1
39,2003/1/2,000043.SZ,10.19,10.38,9.98,10.01,162636,1649414.1,-0.25,-2.4366,1.67363,0.4258,0.4258,139325472,1394647975,38195872,382340678.7,42.7027,NA,1
40,2003/1/2,000045.SZ,11.42,11.66,11.2,11.3,55700,635083,-0.3,-2.5862,1.330756,0.2512,0.2512,163416000,1846600800,22176000,250588800,32.212,NA,1
41,2003/1/2,000046.SZ,6.63,6.76,6.5,6.54,311756,2055914.8,-0.12,-1.8018,3.828638,0.2464,0.2464,244084341,1596311590,126518238,827429276.5,37.8388,1.5291,0
42,2003/1/2,000048.SZ,4.7,4.84,4.7,4.82,562253,2685662.2,0.08,1.6878,4.437103,0.4922,0.4922,390768671,1883504994,114237371,550624128.2,56.905,NA,1
43,2003/1/2,000049.SZ,8.78,8.92,8.5,8.51,571419,4925204.9,-0.28,-3.1854,2.630137,1.2777,1.2777,136829159,1164416143,44723572,380597597.7,48.8401,NA,1
44,2003/1/2,000050.SZ,11.19,11.3,11.03,11.05,156510,1742071.9,-0.14,-1.2511,1.544667,0.43,0.43,132770000,1467108500,36397000,402186850,28.0995,1.3575,1
45,2003/1/2,000055.SZ,9.52,9.92,9.43,9.86,2506647,24414798,0.36,3.7895,1.758365,5.9682,5.9682,296400000,2922504000,4.20E+07,414120000,38.3003,1.0142,1
46,2003/1/2,000056.SZ,8.84,9.05,8.7,8.75,384520,3394684.7,-0.14,-1.5748,1.445326,0.6963,0.6963,220901184,1932885360,55222272,483194880,45.4869,NA,1
47,2003/1/2,000058.SZ,8.05,8.19,7.94,7.96,635225,5096787.8,-0.09,-1.118,2.125142,0.7333,0.7333,726145863,5780121069,86626238,689544854.5,53.3275,NA,1
48,2003/1/2,000059.SZ,5,5.13,4.92,4.98,1349234,6758708.2,-0.06,-1.1905,1.08117,0.7984,0.7984,663225214,3302861566,1.69E+08,841620000,34.8585,NA,1
49,2003/1/2,000060.SZ,5.63,5.78,5.56,5.59,687580,3869029.8,-0.13,-2.2727,3.791111,0.3351,0.3351,4.32E+08,2414880000,205200000,1147068000,37.2994,NA,1
50,2003/1/2,000061.SZ,15,15,14.8,14.85,126609,1880640.8,-0.25,-1.6556,3.22794,0.1245,0.1245,184857643,2745135999,101703120,1510291332,24.561,1.3468,1
51,2003/1/2,000062.SZ,8.35,8.45,8.12,8.18,440150,3623856,-0.19,-2.27,3.165436,0.3427,0.3427,270399998,2211871984,128439998,1050639184,33.303,1.2225,1
52,2003/1/2,000063.SZ,12.82,13.1,12.68,12.78,1438623,18443665.1,-0.07,-0.5447,1.970964,0.6858,0.6858,556080000,7106702400,209760000,2680732800,32.9108,1.1737,1
53,2003/1/2,000065.SZ,8.41,8.66,8.21,8.36,360030,3022339.9,-0.08,-0.9479,2.966682,0.8655,0.8655,162437120,1357974323,41600000,347776000,39.2464,0.4486,1
54,2003/1/2,000066.SZ,9.18,9.3,8.9,8.96,1343165,12153154.6,-0.24,-2.6087,2.929356,0.741,0.741,458491500,4108083840,181260000,1624089600,34.7236,2.2321,1
55,2003/1/2,000068.SZ,7.18,7.3,7.03,7.1,962656,6861746.4,-0.26,-3.5326,1.517748,0.4278,0.4278,785970517,5580390671,2.25E+08,1597500000,34.6328,0.4225,1
56,2003/1/2,000069.SZ,13.12,13.17,12.93,12.98,136200,1775955.2,-0.34,-2.5526,2.333719,0.097,0.097,447120000,5803617600,140400000,1822392000,20.1377,1.926,1
57,2003/1/2,000070.SZ,10.1,10.25,9.9,9.9,244266,2443978.9,-0.18,-1.7857,1.015244,0.349,0.349,2.50E+08,2.48E+09,7.00E+07,6.93E+08,28.5531,0.5051,1
58,2003/1/2,000078.SZ,7.41,7.7,7.35,7.44,2181304,16311331.2,-0.09,-1.1952,3.022655,1.3565,1.3565,332700000,2475288000,160800000,1196352000,40.3771,NA,1
59,2003/1/2,000088.SZ,14.6,14.9,14.4,14.49,1014990,14783359,-0.28,-1.8957,1.106199,0.812,0.812,5.85E+08,8476650000,1.25E+08,1811250000,21.0535,3.4507,1
60,2003/1/2,000089.SZ,8.15,8.15,8.02,8.1,786555,6355947.6,-0.15,-1.8182,2.610837,0.2731,0.2731,799824000,6478574400,2.88E+08,2332800000,24.8516,2.4691,1
61,2003/1/2,000090.SZ,10.01,10.01,9.59,9.7,500429,4891948.8,-0.37,-3.6743,1.031026,0.6015,0.6015,223261600,2165637520,83200000,807040000,29.6845,2.0619,1
62,2003/1/2,000096.SZ,11.85,11.85,11.25,11.31,197150,2257350.1,-0.7,-5.8285,1.017315,0.2319,0.2319,3.30E+08,3732300000,8.50E+07,961350000,28.0649,1.3263,1
63,2003/1/2,000099.SZ,10,10.07,9.5,9.53,445796,4361482.5,-0.54,-5.3625,1.218708,0.6192,0.6192,235200000,2241456000,7.20E+07,686160000,29.3888,0.8744,1
64,2003/1/2,000150.SZ,5.81,5.81,5.81,5.81,0,0,0,0,1.807114,0,0,3.24E+08,1882440000,1.26E+08,732060000,41.6218,NA,0
